tconst,primaryTitle,Language,Country,plot,genres,lead_actors_ids,startYear,runtimeMinutes,numVotes,averageRating,budget,BoxOffice
tt0808519,Unknown,English,United States,"In a warehouse, a handful of amnesiac men regain consciousness. One is bound to a chair, another has been handcuffed and shot, a third has a broken nose, and the other two, one wearing a jean jacket and one wearing a rancher shirt, are also wounded. The man in the jean jacket wakes up first. He makes sure that everyone is alive. The windows are barred and the only door has a mechanized lock. He answers a ringing phone. The caller asks what is happening and the jean jacket man says that everyone is fine. The caller says that he will return in some hours. Somewhere else, a money drop off is occurring. William Coles Jr. has been kidnapped.","['Drama', 'Mystery', 'Romance']","['nm2298872', ' nm2298077', ' nm2297442', ' nm2295768', ' nm2299195']",2005,99,81,5.7,3.7,3.4
tt7153766,Unsane,English,United States,"To escape astalker, Sawyer Valentini moves away from herBostonhome. Still paranoid and traumatized, she talks with a counselor at Highland Creek Behavioral Center, who tricks her into signing a consent form for voluntary 24-hour admission to a locked psychiatric hospital. Sawyer calls the police, who can do nothing due to the signed form. During the night, stress causes Sawyer to lash out at a patient and a staff member. Consequently, the staff psychiatrist retains her for seven more days.","['Drama', 'Horror', 'Mystery']","['nm2946516', ' nm0502671', ' nm3982894', ' nm1017334', ' nm6059190']",2018,98,53859,6.4,1.5,14.3
tt0039066,Undercurrent,English,United States,"Ann Hamilton, a young woman from a middle-class family, meets wealthy businessman Alan Garroway when he comes to visit her scientist father. Ann and Alan soon fall in love and get married.","['Drama', 'Film-Noir', 'Thriller']","['nm0000031', ' nm0001791', ' nm0000053', ' nm0350324', ' nm0537685']",1946,116,3909,6.5,1.644,4.327
tt0816110,Underdogs,English,United States,"In the Capital City Town Hall, abeagleon the police bomb squad sets off a false alarm. Ridiculed and rejected, the beagle leaves and is abducted by Cad Lackey, who takes him to the lab ofmad scientistSimon Barsinister. Bitter that his proposal for genetic experimentation was declined, Simon plans to prove his theory by testing his new serum on the beagle. The beagle escapes and runs amok in the lab, starting a fire and becoming exposed to various chemicals, which modify his DNA and give him superpowers.",['Comedy'],"['nm1243953', ' nm0048273', ' nm0144119', ' nm1397601', ' nm2244151']",2006,87,27,8.5,25.0,65.3
tt0063787,Vixen!,English,United States,"At aCanadianwilderness resort, sultry and sexually assertive Vixen Palmer lives happily married with her husband Tom, a bush pilot and owner of a tourist lodge. ThehypersexualVixen nevertheless seduces anyone within reach including amountie, a couple her husband brings home as clients – the husband first, his wife later, and eventually her own brother, Judd. The only person she will not have sex with is Judd's friend Niles, anAfrican AmericanVietnam Wardeserter, whom Vixen verbally abuses with racist insults.",['Drama'],"['nm0310532', ' nm0397306', ' nm0656188', ' nm0262915', ' nm0908898']",1968,70,3758,5.6,0.073,8.0
tt5584852,Ugly,Korean,South Korea,"Lim Yeong-gyu is a blind elderlyseal-engravingmaster celebrated nationwide as a “living miracle” for producing beautiful work, with his son, Dong-hwan, handling most of the business' promotional aspects. As a television documentary led by Su-jin profiles Yeong-gyu's life and artistry, Dong-hwan learns that his mother, Jung Young-hee, whom he knew nothing of besides that she had abandonned the family when he was a baby, was in fact dead, her skeletal remains discovered at a construction site where it was buried for nearly forty years.",['Drama'],"['nm0060157', ' nm3898384', ' nm8565604', ' nm8572747', ' nm3432023']",2017,92,110,5.1,0.144,7.7
tt0817230,Valentine's Day,English,United States,"Florist Reed Bennett wakes up and proposes to his girlfriend Morley Clarkson, who accepts. However, Reed's closest friends, Alfonso Rodriguez and Julia Fitzpatrick, are not surprised when Morley suddenly changes her mind and leaves Reed a few hours later.","['Comedy', 'Romance']","['nm0000210', ' nm0004937', ' nm0004266', ' nm0004695', ' nm0000870']",2010,125,130773,5.8,52.0,0.0
tt2032572,USS Indianapolis: Men of Courage,English,United States,"In 1945, thePortland-class heavy cruiserUSSIndianapolis, commanded by CaptainCharles B. McVay III, delivers parts of theatomic bombthat would later beused to bomb Hiroshimaat the end of World War II. While crossing thePhilippine Sea, on July 30, 1945, the unescorted ship is torpedoed and sunk by theImperial Japanese Navy(IJN) submarineI-58, taking 300 crewmen with it to the bottom of the Philippine Sea, and the rest climb out of the ship and were left stranded at sea for five days without food and water in shark-infested waters.","['Action', 'Drama', 'History']","['nm0000115', ' nm0001744', ' nm0005048', ' nm1782667', ' nm0001664']",2016,128,15534,5.3,40.0,1.664
tt0320691,Underworld,English,Germany Hungary United Kingdom United States,"For generations,vampiresandLycans, an ancient species ofwerewolf, have secretly waged war. The vampires gain the upper hand when Lycan leader Lucian seemingly dies at the hands of vampireKraven, who becomes the second-in-command to the vampires' leading elders.Selene, a member of an elite group of vampire assassins known as""Death Dealers"", continues to pursue the extermination of the Lycans despite other vampires no longer perceiving them as a threat.","['Action', 'Fantasy', 'Thriller']","['nm0000295', ' nm0005454', ' nm0111274', ' nm0790688', ' nm0631490']",2003,121,300673,7.0,22.0,95.7
tt0092147,Vamp,English,United States,"College students Keith and AJ want to hire a stripper to bribe their way into a campus fraternity so they can move out of their cramped, noisy dorm room and into the frat's house. They borrow a Cadillac from lonely rich student Duncan, who insists on coming with them to scope out strip clubs in a nearby city. The three boys find themselves at a club in a shady part of town, and after being impressed by the surreal and artistic performance of one stripper, Katrina, AJ visits her dressing room to try to convince her to come strip for their college party. Katrina pins him to her waterbed filled with blood and seduces him by massaging, licking, and gently biting his chest. As she transforms into a vampire, she breaks one of AJ's arms to keep him from fighting her off, and kills him with a deep bite to the neck.","['Comedy', 'Fantasy', 'Horror']","['nm0538485', ' nm0056310', ' nm0750852', ' nm0679410', ' nm0679410']",1986,93,8129,5.9,3.3,4.9
